x,y,z,classification
77.39560485559633,21.81491845610315,21.62185160001385,2
43.88784397520523,66.29277005606187,21.33713284424011,3
85.85979199113825,76.68615203028132,6.080850932499726,6
69.73680290593639,16.663614302847442,1.0996618550471138,1
9.417734788764953,4.385828341791598,9.113985654212078,1
97.5622351636756,43.958737530133874,4.714089145768524,2
76.1139701990353,77.40240859924371,11.873654376470821,4
78.60643052769538,65.07798355741427,29.38038357457813,5
12.811363267554587,70.18817204145913,5.432141127156629,4
45.038593789556714,40.28393399933684,9.566218302689068,3
37.07980242325812,23.494554525306988,21.75342948958717,6
92.67649888486018,53.17788432846095,15.275483485857649,2
64.38651200806646,20.43656937491969,1.3178443072015478,6
82.276161327083,72.62286969850658,4.8507005448396505,2
44.34141988273311,19.696645595947704,28.05748664319588,2
22.723872178477688,29.126326671434143,3.094949782170854,6
55.45847870158348,50.654477832300536,19.052783616291173,4
6.381725610417533,48.670993414349496,23.769769465227345,3
82.7631171992582,60.08493764070294,7.9631718817477175,2
63.166439912206485,43.744460049991694,21.7523400941607,3
75.80877400853738,91.94733085100914,5.096855370905407,5
35.45259681298683,83.99340941971883,8.54250824501371,1
97.06980243949033,87.91134512366384,9.354660926526224,2
89.31211213221977,62.951657140343755,29.893049716926708,2
77.83834970737618,63.50079158608064,6.437168856538719,3
19.463870785196757,60.919868371594866,3.8762239390075504,5
46.67210037270342,43.48841544214562,27.770743124442312,2
4.380376578722878,32.21060010672626,4.857920814610583,5
15.428949206754783,59.20028874488703,26.37839758888216,6
68.30489532424546,2.553183713845031,19.5136988294007,3
74.47621559078172,0.7456431423803034,17.305844942115563,6
96.750973243421,85.16418262967485,22.540161346397305,6
32.58253581381519,4.642404477762218,21.7799687144415,5
37.045970603486886,52.479515033341805,3.3157856825494116,3
46.95558112758079,61.49877629496451,29.98398331220067,2
18.94713590842857,19.81712296224356,28.256691793461858,6
12.992150533547164,89.57308382651483,26.89775888585749,3
47.57049262259338,19.0095771748375,18.668674018272206,1
22.69093490508841,88.45149873666746,15.683739939969424,5
66.98139946825104,76.29902693330351,16.08835751645005,3
43.715191887233075,24.074295352419394,0.4481083268469732,6
83.26781960578374,15.074416627609356,14.984085058363288,6
70.0265102002249,31.623271018623512,18.713087029797595,1
31.236664138204105,39.79505662702747,19.761186263248455,6
83.2259801395201,24.578467649892342,9.96418395153939,6
80.47643574968019,99.88915487544232,14.138470508806485,5
